"","","","","","","","","","",""
"","","","","","","Orders","","","",""
"","","","","","","","","","",""
"#","Order#","Order Date","Customer","Subtotal(Rs:)","Tax(Rs:)","Shipping Fee(Rs:)","Total Amount(Rs:)","Payment Method","Payment Status","Order Status"
"1","ORD-2177761","13-12-2023 09:40:30 PM","anu","195.00","48.75","0.00","243.75","Cash on Delivery","Pending","Awaiting"
"2","ORD-4828423","13-12-2023 09:39:10 PM","anu","100.00","25.00","0.00","125.00","Cash on Delivery","Pending","Awaiting"
"3","ORD-2387941","13-12-2023 12:04:53 AM","AnuGragha","325.00","81.25","10.00","416.25","Cash on Delivery","Pending","Awaiting"
"4","ORD-4997591","21-11-2023 06:00:39 PM","Admin","25.00","6.25","0.00","31.25","Cash on Delivery","Pending","Awaiting"
"5","ORD-8892981","21-11-2023 05:53:57 PM","Admin","10.00","2.50","0.00","12.50","Cash on Delivery","Pending","Awaiting"
"6","ORD-9695761","15-11-2023 07:21:48 PM","Admin","170.00","42.50","0.00","212.50","Cash on Delivery","Pending","Awaiting"
"7","ORD-8064721","15-11-2023 02:54:02 AM","Admin","10.00","2.50","0.00","12.50","Cash on Delivery","Pending","Awaiting"
"8","ORD-2391251","15-11-2023 01:43:27 AM","Admin","170.00","42.50","5.00","217.50","Cash on Delivery","Pending","Awaiting"
"9","ORD-4811201","15-11-2023 01:38:11 AM","Admin","340.00","85.00","0.00","425.00","Cash on Delivery","Pending","Awaiting"
"10","ORD-6818711","31-10-2023 07:37:11 AM","Admin","170.00","42.50","15.00","227.50","Cash on Delivery","Completed","Completed"
"11","ORD-7987441","31-10-2023 07:31:06 AM","Admin","100.00","25.00","15.00","140.00","Cash on Delivery","Completed","Completed"
"12","ORD-2566431","21-10-2023 08:36:32 PM","Guest User","370.00","92.50","10.00","472.50","Cash on Delivery","Pending","Awaiting"
"13","ORD-4005101","12-10-2023 06:52:55 PM","Sathish","3,400.00","850.00","15.00","4,265.00","Cash on Delivery","Completed","Completed"
"14","ORD-2770821","12-10-2023 01:59:01 AM","Admin","80.00","20.00","15.00","115.00","Cash on Delivery","Completed","Completed"
"15","ORD-9490961","12-10-2023 01:57:20 AM","Admin","20.00","5.00","15.00","40.00","Cash on Delivery","Completed","Completed"
"16","ORD-9084091","11-10-2023 07:16:28 PM","dinesh","195.00","48.75","15.00","258.75","Cash on Delivery","Completed","Completed"
"17","ORD-7293411","09-10-2023 07:34:56 PM","Admin","25.00","6.25","15.00","46.25","Cash on Delivery","Completed","Completed"
"18","ORD-9330521","09-10-2023 07:28:59 PM","Admin","100.00","5.00","0.00","105.00","Cash on Delivery","Completed","Completed"
"19","ORD-9799901","09-10-2023 07:19:41 PM","AnuGragha","170.00","8.50","0.00","178.50","Cash on Delivery","Completed","Completed"
"20","ORD-7167101","09-10-2023 06:49:22 PM","anu","25.00","1.25","0.00","26.25","Cash on Delivery","Completed","Completed"
"21","ORD-7821322","09-10-2023 05:49:22 PM","anu","1,385.00","69.25","15.00","1,469.25","Cash on Delivery","Completed","Completed"
"22","ORD-9232021","06-10-2023 11:52:52 PM","AnuGragha","10.00","0.50","0.00","10.50","Cash on Delivery","Completed","Completed"
